id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,city
14602894,1 Bedroom Steps From Bloomingdale'S And Park,61391963,Corporate Housing,Manhattan,Upper East Side,40.76141,-73.96376,Entire Home/Apt,$117.00,30,9,2/29/2020,0.19,120,0,New York City
44752662,Large Designer Townhouse,1787072,John,Not Specified,78747,30.13287,-97.78587,Entire Home/Apt,$250.00,2,2,8/23/2020,1.76,1,305,Austin
35919378,"Hotel Lucia, Deluxe King",267899000,Hotel Lucia,Not Specified,Portland Downtown,45.52102,-122.67835,Private Room,$149.00,1,0,,0,9,4,Portland
21837852,"Mid-Century Studio, Clean, Quiet And Private",689294,Larry,City Of Los Angeles,Mid-City,34.05192,-118.37467,Entire Home/Apt,$110.00,31,128,10/4/2020,3.83,1,89,Los Angeles
19802859,Cozy Room In Uki Village Close To Wicker Park,20073392,Frances Patrick,Not Specified,West Town,41.9002,-87.6866,Private Room,$89.00,3,13,10/13/2019,0.34,2,78,Chicago
39943735,Sunny Home San Bruno - Bedroom 1,293780208,Maria,Not Specified,San Bruno,37.63724,-122.45334,Private Room,$150.00,2,0,,0,4,89,San Mateo County
44308339,Boho Loft- Quarantine In Style,48485590,Alyssa,City Of Los Angeles,Bel-Air,34.08044,-118.46355,Entire Home/Apt,$140.00,1,3,8/14/2020,2.05,1,253,Los Angeles
38537127,Ultra-Modern Private Pool Villa With Amazing Views,18530088,Amalya,Unincorporated Areas,Altadena,34.20129,-118.12443,Entire Home/Apt,$588.00,30,0,,0,28,10,Los Angeles
4760107,"Tall Ceilings, Large Windows",16437254,Benjamin,Brooklyn,Boerum Hill,40.68902,-73.98632,Entire Home/Apt,$109.00,3,12,7/31/2020,0.2,16,313,New York City
36903645,One Extra Cleaning Service- Lux High Rise,260807399,John,Not Specified,Near North Side,41.89456,-87.63202,Entire Home/Apt,$400.00,30,2,7/10/2019,0.16,6,0,Chicago
31168983,"Near Downtown + Lightrail, Dogs Negotiable, 420 Ok",43808128,Amanda,Not Specified,Cole,39.76795,-104.9652,Entire Home/Apt,$98.00,4,65,9/6/2020,3.55,1,72,Denver
979882,Urban Retreat-Near Uofm + Downtown,5363505,Vicki,Not Specified,Hennepin,44.95479,-93.216,Private Room,$75.00,1,99,11/3/2020,1.11,1,156,Twin Cities Msa
43616982,Entire Modern Stylish 1B1B Pool+Gym By Fig7,15693211,Sel,City Of Los Angeles,Westlake,34.05221,-118.26575,Entire Home/Apt,$145.00,1,6,7/19/2020,1.88,8,176,Los Angeles
42905175,Fantastic Ocean View From Lanai.Beautiful Sunrises,107135352,Bryan,Kauai,Kapaa-Wailua,22.07393,-159.31871,Entire Home/Apt,$234.00,3,1,3/23/2020,0.17,3,237,Hawaii
36693814,Urban Oasis Single Room,50311476,Daniel,Not Specified,East Garfield Park,41.8826,-87.69309,Private Room,$100.00,2,1,9/16/2019,0.08,2,0,Chicago
12604111,Great Ocean View Condo On Maui 504 With A/C,3211895,Nicholas,Maui,Kihei-Makena,20.76312,-156.45903,Entire Home/Apt,$170.00,3,22,9/23/2019,0.43,35,190,Hawaii
4198752,Live Like A Local In Laurelhurst 2 B/R Cozy F/P,13825879,Ed And Kym,Not Specified,North Tabor,45.52083,-122.61479,Entire Home/Apt,$125.00,2,313,3/15/2020,4.46,1,334,Portland
425878,Bayou St. John Cottage!!,1919429,Kristin,Not Specified,Bayou St. John,29.97688,-90.08783,Entire Home/Apt,$125.00,30,35,2/24/2020,0.44,1,365,New Orleans
40282638,Bright Master Bedroom Parking,8980405,Lisa,Not Specified,Cleveland Heights,37.80472,-122.23811,Private Room,$67.00,3,1,4/12/2019,0.15,2,89,Oakland
35428765,Very Cosy Apartment In Uptown Manhattan,44452858,Taner,Manhattan,Inwood,40.86639,-73.92369,Entire Home/Apt,$125.00,7,0,,0,1,0,New York City
15145542,Vintage Foursquare One Block Off Alberta Arts,86757575,Michael,Not Specified,Vernon,45.56011,-122.64598,Entire Home/Apt,$180.00,3,202,5/7/2020,4.42,1,28,Portland
37240786,"Modern Kitchen, Open Floor Plan, Downtown Newport",78139874,Chris,Newport,Newport,41.48343,-71.31401,Entire Home/Apt,"$3,000.00",1,7,6/14/2020,0.85,35,324,Rhode Island
622445,+: Downtown - Odin,770783,Linc,Not Specified,Mountain View,37.38905,-122.08611,Shared Room,$45.00,1,80,2/1/2020,0.86,1,0,San Clara Country
10538913,Spacious Home 8 Min To The Beaches,1248446,Elena,Not Specified,Hollywood,26.02792,-80.14594,Entire Home/Apt,$82.00,7,77,3/1/2020,1.49,2,149,Broward County
41249576,"Gorgeous Koreatown 1Br W/ Gym, Pool, Nr. Wiltern Theatre By Blueground",107434423,Blueground,City Of Los Angeles,Westlake,34.07165,-118.28666,Entire Home/Apt,$110.00,30,0,,0,206,320,Los Angeles
26037572,San Diego Bay View Private Room Bathroom,94387909,Kurtis,Not Specified,Bay Ho,32.81795,-117.22076,Private Room,$40.00,2,10,12/11/2018,0.4,1,0,San Diego
28641352,Coconut Condos - Beautiful Ocean View Kahana Villa E614,51013381,Coconut Condos,Maui,Lahaina,20.96752,-156.681,Entire Home/Apt,$224.00,3,28,9/3/2020,1.45,51,336,Hawaii
19508648,Clean And Comfy In A Very Central Location!,97704416,Dominic,Not Specified,Moreno Mission,32.77078,-117.20083,Entire Home/Apt,$99.00,3,105,12/7/2020,2.86,3,58,San Diego
10589978,Gorgeous House In Beverly Hills,47992825,Vicky,City Of Los Angeles,Beverly Crest,34.09295,-118.43143,Entire Home/Apt,"$1,299.00",30,0,,0,6,365,Los Angeles
39296544,Blackstone Blvd Mansion House For Rent,301696423,Jin,Providence,Providence,41.83939,-71.38706,Entire Home/Apt,$400.00,7,0,,0,1,85,Rhode Island
44394655,Spacious Mission District Studio!,4430421,Landmark,Not Specified,Mission,37.76384,-122.41752,Entire Home/Apt,$89.00,30,0,,0,146,158,San Francisco
731133,"Cozy, Quiet Venice Abbot Kinney Oasis At The Beach",3803570,Chris,City Of Los Angeles,Venice,33.99092,-118.47377,Private Room,$75.00,30,3,2/1/2013,0.03,3,364,Los Angeles
6843145,"3 Br Family Home, 1 Avenue From Central Park",5361360,Michael,Manhattan,Upper West Side,40.78787,-73.97116,Entire Home/Apt,$295.00,3,10,2/9/2019,0.2,1,0,New York City
2863530,Appartement 2 Chambres Astoria Ny,14636480,Ilda,Queens,Astoria,40.77182,-73.93129,Entire Home/Apt,$120.00,4,76,3/16/2020,1.51,1,315,New York City
287845,Carroll Gardens Gem-2Bd With Garden,1496847,Paul Ewa,Brooklyn,Carroll Gardens,40.68128,-73.99522,Entire Home/Apt,$185.00,31,122,2/8/2019,1.16,1,251,New York City
39272491,The Foxhole,5985309,Sevgi,Brooklyn,Bushwick,40.69973,-73.93711,Entire Home/Apt,$110.00,3,5,1/1/2020,0.45,1,0,New York City
40655736,Cardozo Guesthouse - Duxbury Room,161649426,Kathleen,Not Specified,"Howard University, Le Droit Park, Cardozo/Shaw",38.91631,-77.02967,Private Room,$95.00,2,3,8/29/2020,0.35,4,180,Washington D.C.
41909552,Just 4.5 Miles To Manhattan.,261464666,Mayra,Queens,Middle Village,40.71328,-73.8797,Entire Home/Apt,$149.00,2,0,,0,5,365,New York City
41454119,East Side Oasiswalk To Sxsw,16678091,Elizabeth,Not Specified,78702,30.26458,-97.71501,Entire Home/Apt,$400.00,3,0,,0,1,0,Austin
27677962,Cozy 1Br Apartment In Williamsburg,115154494,Joseph,Brooklyn,Williamsburg,40.71727,-73.94821,Entire Home/Apt,$157.00,3,6,1/1/2019,0.25,1,0,New York City
42688990,Beach House,340041153,John,Other Cities,Torrance,33.814,-118.38904,Entire Home/Apt,$145.00,7,3,5/31/2020,0.49,1,154,Los Angeles
22450493,Full Desk And Closet In Mid-Cambridge,13706420,Frank,Not Specified,Wellington-Harrington,42.37242,-71.09442,Private Room,$65.00,91,24,8/31/2019,0.8,1,0,Cambridge
42012197,20 Two Bedroom Apartment In Central Of Midtown,211549023,Studioplus,Manhattan,Midtown,40.74667,-73.98716,Entire Home/Apt,$106.00,2,3,8/16/2020,1.1,19,350,New York City
27525072,"Bright, Warm Guesthouse In North Hollywood",55280501,Guy,City Of Los Angeles,North Hollywood,34.18305,-118.39097,Entire Home/Apt,$159.00,30,76,8/31/2020,3,1,90,Los Angeles
5760784,Beach Front Long Beach Apartment,13616152,Ava,Other Cities,Long Beach,33.76576,-118.18172,Entire Home/Apt,$65.00,7,1,4/27/2015,0.02,1,0,Los Angeles
19507382,Newly Renovated Studio In Logan Circle,136999257,Margarita,Not Specified,"Shaw, Logan Circle",38.90796,-77.03262,Entire Home/Apt,$107.00,45,1,8/26/2017,0.03,1,0,Washington D.C.
30980813,Newly Remodeled 2 Bedroom Mid-Century Home,105714194,Tony,Not Specified,Shafter,37.84155,-122.25849,Entire Home/Apt,$205.00,2,58,10/3/2020,3.24,13,0,Oakland
15827529,"1085 Boylston St. Artlab, 1 Bed Apt, Boston",20857768,Compass,Not Specified,Fenway,42.34623,-71.08863,Entire Home/Apt,$130.00,9,26,7/31/2020,0.64,18,68,Boston
34388266,Williamsburg Spacious Room W/ Balcony And Bathroom,35645401,Adam,Brooklyn,Williamsburg,40.71926,-73.95485,Private Room,$69.00,3,1,12/5/2019,0.06,1,361,New York City
36824291,Luxury 1 Bedroom Private House,276776404,Andy,City Of Los Angeles,Mid-Wilshire,34.06121,-118.3272,Entire Home/Apt,$300.00,30,2,7/8/2019,0.15,1,90,Los Angeles
5926953,"Modern, Cozy Bright Private Room And Bathroom",30430827,Steve,Brooklyn,Fort Greene,40.69634,-73.97296,Private Room,$70.00,2,180,12/30/2019,2.78,1,312,New York City
30955204,"Large Bedroom And Private Bath, Astoria, Ny",24946568,Anamarija,Queens,Astoria,40.77522,-73.93014,Private Room,$49.00,7,2,4/28/2019,0.1,1,0,New York City
11965862,Sunny And Spacious Room In Brooklyn,63914230,Kay,Brooklyn,Williamsburg,40.7128,-73.9605,Private Room,$75.00,5,1,12/7/2016,0.02,1,0,New York City
41786442,Renovated Apartment With High Ceilings!,330157466,William,Brooklyn,Bedford-Stuyvesant,40.69172,-73.95733,Entire Home/Apt,$170.00,4,1,6/30/2020,0.42,1,175,New York City
45121164,Live + Work + Stay + Easy 2Br In New Orleans,359233035,Pchsouth,Not Specified,Lower Garden District,29.93557,-90.06926,Entire Home/Apt,$144.00,30,0,,0,75,360,New Orleans
27202060,Charming 2Br In Prime Pdx Location!,157072983,Namastay,Not Specified,Northwest District,45.53441,-122.70052,Entire Home/Apt,$175.00,1,65,6/20/2020,2.83,1,225,Portland
24445091,Compact Style,54381355,James,Other Cities,West Hollywood,34.08345,-118.38737,Entire Home/Apt,$100.00,30,14,7/31/2020,0.49,1,221,Los Angeles
38929460,Modern Luxury Townhome 6 Minutes From Downtown!,20061031,Kyla,Not Specified,District 20,36.15997,-86.86747,Entire Home/Apt,$99.00,2,1,5/16/2020,0.28,1,0,Nashville
25349642,Patricia'S Cottage,6243034,Patricia,Not Specified,Woodstock,45.48081,-122.60914,Entire Home/Apt,$122.00,30,17,6/1/2020,0.67,1,308,Portland
8831088,Super-Hip Luxury Slu Apartment,33698546,Stone,Cascade,South Lake Union,47.6233,-122.33197,Entire Home/Apt,$110.00,30,0,,0,1,0,Seattle
16031497,"Cozy By The Bay, Marinas, Fishing, Beach, Downtown",69864302,Janene,Not Specified,Roseville,32.72432,-117.2313,Private Room,$50.00,1,225,3/13/2020,5.23,1,0,San Diego
43909651,Luxurious Studio City Home,287060585,Bienville Villas,City Of Los Angeles,Studio City,34.14426,-118.36424,Entire Home/Apt,$418.00,1,2,8/19/2020,1.4,1,123,Los Angeles
818526,Oasis In The Malibu Wine Trail,4299309,Leslie,Unincorporated Areas,Unincorporated Santa Monica Mountains,34.09498,-118.81361,Entire Home/Apt,"$1,101.00",1,53,11/8/2020,0.59,2,341,Los Angeles
22531774,Bright 1 Br Apartment For Super Bowl - 1.7 Miles,20407422,Aleah,Not Specified,Hennepin,44.96635,-93.28994,Entire Home/Apt,$359.00,2,1,5/2/2018,0.03,1,0,Twin Cities Msa
22423769,"Best Location In La, Walk To Sunset Junction",128292914,David,City Of Los Angeles,Silver Lake,34.08861,-118.28063,Private Room,$52.00,30,0,,0,4,0,Los Angeles
33321394,Affordable Beachfront Condo Steps From Beach,140966123,Mark,Not Specified,Pacific Beach,32.79888,-117.25705,Entire Home/Apt,$171.00,7,1,10/8/2019,0.08,1,0,San Diego
